Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
187.12   185.40    185.40        2 92700.00 92700.00  IO.select
 93.56   278.10     92.70        2 46350.00 46350.00  Thread#join
 93.56   370.80     92.70        2 46350.00 46350.00  TCPServer#accept
 93.56   463.50     92.70      114   813.16   813.16  Kernel#sleep
  3.24   466.71      3.21    49409     0.06     0.08  Kernel#dup
  3.24   469.92      3.21    57169     0.06     0.31  BinData::Struct#instantiate_obj_at
  2.22   472.12      2.20    83556     0.03     0.03  Kernel#define_singleton_method
  2.19   474.29      2.17    66525     0.03     0.10  BinData::BasePrimitive#method_missing
  2.04   476.31      2.02   146981     0.01     0.06  BasicObject#!=
  1.99   478.28      1.97    50104     0.04     3.48  Array#each
  1.96   480.22      1.94    64577     0.03     0.28  BinData::Base#new
  1.91   482.11      1.89    27779     0.07     0.16  BinData::Struct#define_field_accessors_for
  1.81   483.90      1.79   125411     0.01     0.08  BinData::BasePrimitive#_value
  1.71   485.59      1.69   175741     0.01     0.01  Fixnum#==
  1.69   487.26      1.67    66683     0.03     0.04  Kernel#clone
  1.59   488.84      1.58   109532     0.01     0.02  BinData::Base#has_parameter?
  1.52   490.35      1.51    25475     0.06     0.24  BinData::BasePrimitive#assign
  1.44   491.78      1.43    53092     0.03     0.24  BinData::Primitive#method_missing
  1.39   493.16      1.38    39425     0.04     0.41  Pio::OpenFlow10::Match::Wildcards#get
  1.39   494.54      1.38    25576     0.05     0.13  BinData::IO::Read#readbytes
  1.36   495.89      1.35   107588     0.01     0.07  BinData::BasePrimitive#snapshot
  1.35   497.23      1.34    10197     0.13     0.20  BinData::BaseArgProcessor#separate_args
  1.32   498.54      1.31   210632     0.01     0.01  Kernel#respond_to?
  1.32   499.85      1.31    71469     0.02     0.02  BinData::SanitizedField#name_as_sym
  1.10   500.94      1.09    74608     0.01     2.36  Class#new
  1.09   502.02      1.08    37616     0.03     0.34  BinData::Struct#define_field_accessors
  1.07   503.08      1.06     6311     0.17     0.36  Pio::Mac#initialize
  1.04   504.11      1.03    66683     0.02     0.02  Kernel#initialize_clone
  1.02   505.12      1.01    45051     0.02     0.05  BinData::Struct#include_obj?
  1.02   506.13      1.01    22584     0.04     0.05  BinData::IO::Write#write_raw
  0.97   507.09      0.96    80905     0.01     0.01  BinData::Base#get_parameter
  0.96   508.04      0.95    64577     0.01     0.29  BinData::SanitizedPrototype#instantiate
  0.79   508.82      0.78    12626     0.06     0.55  BinData::Struct#find_obj_for_name
  0.77   509.58      0.76    13130     0.06     0.07  BinData::Uint8#value_to_binary_string
  0.74   510.31      0.73    27160     0.03     0.06  BinData::IO::Read#read
  0.72   511.02      0.71    24732     0.03     0.18  Kernel#format
  0.70   511.71      0.69    18470     0.04     0.44  Array#collect
  0.69   512.39      0.68    37616     0.02     0.12  BinData::SanitizedFields#any_field_has_parameter?
  0.69   513.07      0.68    25476     0.03     3.36  BinData::Struct#do_write
  0.66   513.72      0.65    54577     0.01     0.45  BinData::Struct#instantiate_all_objs
  0.65   514.36      0.64    17640     0.04     0.16  BinData::Uint8#read_and_return_value
  0.65   515.00      0.64    22584     0.03     0.27  BinData::BasePrimitive#do_write
  0.64   515.63      0.63    27160     0.02     0.03  BinData::IO::Read::SeekableStream#read_raw
  0.64   516.26      0.63    25008     0.03     0.12  BinData::BasePrimitive#respond_to?
  0.62   516.87      0.61   258856     0.00     0.00  Kernel#nil?
  0.62   517.48      0.61     9823     0.06     1.30  BinData::Struct#initialize_shared_instance
  0.61   518.08      0.60     4729     0.13     0.33  IPAddr#initialize
  0.60   518.67      0.59    29093     0.02     2.50  BinData::Struct#do_read
  0.58   519.24      0.57    14221     0.04     0.61  BinData::Base#eval_parameter
  0.57   519.80      0.56    52539     0.01     0.07  BinData::SanitizedFields#field_names
  0.56   520.35      0.55   253266     0.00     0.00  Array#[]
  0.56   520.90      0.55    10197     0.05     6.80  BinData::Base#initialize
  0.55   521.44      0.54    23898     0.02     0.03  BinData::IO::Write#flushbits
  0.52   521.96      0.52    16545     0.03     0.28  BinData::Uint8#assign
  0.51   522.47      0.51    10182     0.05     0.85  Hash#each
  0.51   522.98      0.51   120407     0.00     0.01  Hash#[]
  0.51   523.49      0.51    10197     0.05     0.78  BinData::Base#extract_args
  0.50   523.99      0.50    32197     0.02     0.70  BinData::BasePrimitive#do_read
  0.49   524.48      0.49    22584     0.02     0.10  BinData::IO::Write#writebytes
  0.46   524.94      0.46    35116     0.01     0.36  BinData::SanitizedField#instantiate
  0.46   525.40      0.46    27793     0.02     0.04  BinData::SanitizedPrototype#has_parameter?
  0.45   525.85      0.45    12928     0.03     0.96  Array#each_index
  0.45   526.30      0.45    12626     0.04     0.06  BinData::Struct#base_field_name
  0.45   526.75      0.45    35116     0.01     0.01  BinData::SanitizedFields#[]
  0.43   527.18      0.43    10534     0.04    14.80  BinData::Struct#assign_fields
  0.42   527.60      0.42    10197     0.04     0.08  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.42   528.02      0.42   116797     0.00     0.00  Hash#has_parameter?
  0.41   528.43      0.41     1576     0.26     0.39  Pio::Mac#parse_mac_string
  0.41   528.84      0.41    10175     0.04     0.23  Array#any?
  0.39   529.23      0.39    22115     0.02     0.16  BinData::InitialLengthPlugin#elements
  0.37   529.60      0.37     2872     0.13     0.37  BinData::DSLMixin::DSLParser#to_struct_params
  0.37   529.97      0.37    22641     0.02     0.46  BinData::Array#each
  0.37   530.34      0.37      779     0.47    29.14  Kernel#require
  0.36   530.70      0.36    10197     0.04     6.87  BinData::Base#initialize_with_warning
  0.34   531.04      0.34     5776     0.06     0.08  Pio::Mac#to_s
  0.34   531.38      0.34   108775     0.00     0.00  Fixnum#>
  0.34   531.72      0.34     7885     0.04     0.13  IPAddr#in_addr
  0.34   532.06      0.34     8785     0.04     0.06  BinData::DSLMixin::DSLParser#option?
  0.34   532.40      0.34     5256     0.06     0.08  IPAddr#set
  0.33   532.73      0.33    14756     0.02     0.47  Pio::Type::MacAddress#get
  0.32   533.05      0.32     7083     0.05     0.07  BinData::Uint16be#value_to_binary_string
  0.32   533.37      0.32     7880     0.04     0.10  IPAddr#_to_string
  0.31   533.68      0.31    27793     0.01     0.05  BinData::SanitizedField#has_parameter?
  0.31   533.99      0.31     6884     0.05     0.09  BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.31   534.30      0.31    73846     0.00     0.00  Symbol#to_s
  0.30   534.60      0.30    14054     0.02     0.03  BinData::Base.arg_processor
  0.30   534.90      0.30      184     1.63    29.84  Kernel#gem_original_require
  0.29   535.19      0.29    76528     0.00     0.00  Symbol#to_sym
  0.29   535.48      0.29    53288     0.01     0.01  BinData::BasePrimitive#initialize_instance
  0.29   535.77      0.29     3943     0.07     0.19  BinData::String#clamp_to_length
  0.29   536.06      0.29    18907     0.02     0.65  BinData::Array#to_storage_formats
  0.29   536.35      0.29    10197     0.03     0.70  BinData::BaseArgProcessor#extract_args
  0.28   536.63      0.28    29461     0.01     0.24  BinData::Array#new_element
  0.27   536.90      0.27    27201     0.01     0.02  Kernel#initialize_dup
  0.25   537.15      0.25     9719     0.03     0.03  BinData::Struct::Snapshot#[]=
  0.24   537.39      0.24     4202     0.06     0.22  IPAddr#coerce_other
  0.24   537.63      0.24     5479     0.04     0.40  Array#map
  0.24   537.87      0.24     8632     0.03     0.04  BinData::SanitizedParameters#needs_sanitizing?
  0.24   538.11      0.24    60292     0.00     0.00  Kernel#respond_to_missing?
  0.23   538.34      0.23   118254     0.00     0.00  BasicObject#==
  0.23   538.57      0.23    10197     0.02     0.12  BinData::RegisterNamePlugin#initialize_shared_instance
  0.23   538.80      0.23    68604     0.00     0.00  Kernel#initialize_copy
  0.22   539.02      0.22    72655     0.00     0.00  BasicObject#!
  0.22   539.24      0.22    12600     0.02     0.44  BinData::Array#do_write
  0.22   539.46      0.22    88840     0.00     0.00  Fixnum#<
  0.22   539.68      0.22    84655     0.00     0.00  BasicObject#singleton_method_added
  0.21   539.89      0.21     4178     0.05     0.13  Hash#fetch
  0.20   540.09      0.20    76561     0.00     0.00  Module#===
  0.20   540.29      0.20    71453     0.00     0.00  Fixnum#&
  0.19   540.48      0.19    28905     0.01     0.01  Exception#initialize
  0.18   540.66      0.18     3671     0.05     1.25  BinData::SanitizedParameters#sanitize!
  0.18   540.84      0.18     3673     0.05     0.07  BinData::AcceptedParametersPlugin#default_parameters
  0.18   541.02      0.18     4759     0.04     0.14  BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.18   541.20      0.18    10197     0.02     0.41  BinData::SanitizedParameters.sanitize
  0.18   541.38      0.18    13620     0.01     0.01  String#sub
  0.18   541.56      0.18    35116     0.01     0.01  Array#[]=
  0.17   541.73      0.17    16310     0.01     0.44  BinData::InitialLengthPlugin#do_read
  0.17   541.90      0.17     2110     0.08     0.69  BinData::IO::Read#initialize
  0.16   542.06      0.16     2740     0.06     0.96  BinData::RecordArgProcessor#sanitize_parameters!
  0.16   542.22      0.16     4057     0.04    24.62  nil#
  0.16   542.38      0.16     6052     0.03     0.16  BinData::Uint16be#read_and_return_value
  0.16   542.54      0.16     9824     0.02     0.65  Enumerable#each_with_index
  0.15   542.69      0.15    63440     0.00     0.00  Kernel#is_a?
  0.15   542.84      0.15     4462     0.03     4.87  BinData::Primitive#do_write
  0.15   542.99      0.15     7378     0.02     0.10  BinData::BasePrimitive::ValuePlugin#_value
  0.15   543.14      0.15    44948     0.00     0.00  NilClass#nil?
  0.15   543.29      0.15     1052     0.14     0.45  IPAddr#to_range
  0.14   543.43      0.14     4242     0.03     4.03  BinData::Primitive#read_and_return_value
  0.14   543.57      0.14    48188     0.00     0.00  String#size
  0.14   543.71      0.14     3424     0.04     0.13  BinData::IO.create_string_io
  0.13   543.84      0.13     3957     0.03     1.93  BinData::LazyEvaluator#lazy_eval
  0.13   543.97      0.13     3429     0.04     0.12  BinData::DSLMixin::DSLParser#hide
  0.13   544.10      0.13      520     0.25     0.33  Enumerable#sort_by
  0.13   544.23      0.13     2894     0.04     0.44  BinData::DSLMixin::DSLParser#dsl_params
  0.12   544.35      0.12     5255     0.02     1.91  Pio::OpenFlow10::Match::MatchIpAddress#get
  0.12   544.47      0.12     3151     0.04     2.02  BinData::Array#assign
  0.12   544.59      0.12     1900     0.06     0.19  Gem::Specification._resort!
  0.12   544.71      0.12     1073     0.11     0.21  Gem::Dependency#hash
  0.12   544.83      0.12     4759     0.03     0.15  BinData::LazyEvaluator#recursively_eval
  0.12   544.95      0.12     7378     0.02     0.02  BinData::Base#furthest_ancestor
  0.12   545.07      0.12     3673     0.03     0.83  BinData::Struct#snapshot
  0.12   545.19      0.12     5253     0.02     0.03  Exception.exception
  0.12   545.31      0.12    13140     0.01     0.01  String#hex
  0.12   545.43      0.12     4992     0.02     0.06  BinData::Base#binary_string
  0.12   545.55      0.12     2650     0.05     0.21  BinData::MultiFieldArgSeparator#parameters_is_value?
  0.11   545.66      0.11    37513     0.00     0.00  Array#at
  0.11   545.77      0.11     7627     0.01     0.08  BinData::Struct#as_stringified_hash
  0.11   545.88      0.11    27160     0.00     0.00  BinData::IO::Read#buffer_limited_n
  0.11   545.99      0.11     9829     0.01     0.63  BinData::SanitizedFields#each
  0.11   546.10      0.11    17045     0.01     0.01  Array#<<
  0.11   546.21      0.11     1052     0.10     0.22  BinData::IO::Read#read_big_endian_bits
  0.11   546.32      0.11     4759     0.02     0.31  BinData::LazyEvaluator#eval_symbol_in_parent_context
  0.11   546.43      0.11    10495     0.01     0.01  Array#join
  0.11   546.54      0.11    31608     0.00     0.00  String#unpack
  0.11   546.65      0.11      786     0.14     0.80  Pio::OpenFlow::Port#set
  0.11   546.76      0.11     4474     0.02     0.12  BinData::BasePrimitive::InitialValuePlugin#_value
  0.11   546.87      0.11     3416     0.03     0.29  BinData::String#snapshot
  0.11   546.98      0.11     4167     0.03     0.04  BinData::SanitizedParameters#ensure_no_nil_values
  0.11   547.09      0.11     2110     0.05    15.92  BinData::Base#read
  0.11   547.20      0.11     7173     0.02     1.20  BinData::Primitive#initialize_instance
  0.10   547.30      0.10     1578     0.06     0.20  Pio::EthernetHeader#vlan?
